specie,Altezza (m),Diametro (cm)
Quercus pubescens,12.145493947489078,14.013930853014084
Quercus pubescens,12.892735538155373,16.50156244261557
Quercus pubescens,10.772668975149791,18.013109249295457
Quercus pubescens,15.138580913528193,18.117451484411852
Quercus pubescens,10.490973927750447,16.874836321301892
Quercus pubescens,10.178717080818402,19.557124830868748
Quercus pubescens,13.7371663102501,15.330948926543511
Quercus pubescens,13.187494040944404,17.644051287446768
Quercus pubescens,12.936179725578231,18.300739079279747
Quercus pubescens,12.94251826389642,19.28609708514687
Quercus pubescens,11.981629840729628,19.779037195222223
Quercus pubescens,10.654118442771251,15.188394770405328
Quercus pubescens,12.11370683729059,14.164714573160945
Quercus pubescens,10.984257432731832,21.194192054746274
Quercus pubescens,13.462679600126627,18.83078502994898
Quercus pubescens,11.779413927746791,16.128783658608615
Quercus pubescens,10.761754204811233,21.87787993880631
Quercus pubescens,11.51792123752051,18.289186585732143
Quercus pubescens,12.619397181413436,20.948242960159565
Quercus pubescens,11.154413170794038,18.16879620352527
Quercus pubescens,10.766669406650353,23.151869812204968
Quercus pubescens,12.365530817237868,22.38835210610801
Quercus pubescens,12.367449856663084,17.377589628802316
Quercus pubescens,11.239585236943306,20.42892737738589
Quercus pubescens,11.293442541572515,19.613439873962868
Quercus pubescens,12.348074906036455,21.421578893830876
Quercus pubescens,9.827873487754012,15.58769134854974
Quercus pubescens,9.888804338435168,19.7151286499961
Quercus pubescens,10.922333668121349,20.646061217123968
Quercus pubescens,11.67982927243223,13.603151283942214
Quercus pubescens,12.466361348397006,15.041853718335563
Quercus pubescens,14.213034325424328,12.901919555599749
Quercus pubescens,13.286489434803029,17.326482913888604
Quercus pubescens,11.76009220505486,19.793855639489905
Quercus pubescens,11.971475688145969,21.75589263024007
Quercus pubescens,10.496205953043289,18.18523695104944
Quercus pubescens,11.972230296011416,22.07153886392823
Quercus pubescens,11.567012041619792,14.549746354462773
Quercus pubescens,12.484077840507132,13.741543901612111
Quercus pubescens,10.759153584671516,17.861130752758452
Quercus pubescens,12.779019771361758,18.96016362234827
Quercus pubescens,14.299108369503866,17.918263129764767
Quercus pubescens,11.836859777314714,12.831394749900308
Quercus pubescens,12.602567583148412,17.77719990121803
Quercus pubescens,13.03521598756667,14.738826248737867
Quercus pubescens,11.398169292171248,19.674181372075097
Quercus pubescens,12.336138722715624,18.91649561524212
Quercus pubescens,12.018888601172693,15.650300534181612
Quercus pubescens,12.146514147823249,16.715332706658266
Quercus pubescens,10.8404853242168,15.35196619527762
Quercus pubescens,12.036765261388414,17.843302256817072
Quercus pubescens,12.746997436868174,20.387855801253096
Quercus pubescens,14.176715411692562,15.53568488416114
Quercus pubescens,13.43890623912781,19.26011628879461
Quercus pubescens,15.229773686267334,16.674355954068897
Quercus pubescens,10.848978655667926,16.01781791934414
Quercus pubescens,13.308480955081016,17.732424100113604
Quercus pubescens,12.275013008607528,15.411894193951564
Quercus pubescens,15.28470439982651,16.615876736632046
Quercus pubescens,10.787552571967272,15.00530526852788
Quercus pubescens,10.740417236728836,22.911812832290973
Quercus pubescens,11.100911031833968,18.08815887992932
Quercus pubescens,8.81415641353529,16.250686230018538
Quercus pubescens,11.211367467478858,18.534949776835557
Quercus pubescens,10.861301007669454,17.719179875772927
Quercus pubescens,12.225590679714312,17.447576001166944
Quercus pubescens,12.512633963665738,19.535416750108563
Quercus pubescens,14.814256258823828,19.893769275118263
Quercus pubescens,13.425635757279077,16.67374713097368
Quercus pubescens,11.134644516506397,16.5604543983883
Quercus pubescens,10.652377992977463,17.31237075712089
Quercus pubescens,12.73787875725976,12.24519708816104
Quercus pubescens,10.019650189469036,14.21202234450362
Quercus pubescens,14.74718814878153,21.41718566861131
Quercus pubescens,13.769160181081933,22.11241928375321
Quercus pubescens,11.296236521842944,17.377409901109054
Quercus pubescens,9.430298206363684,19.441392407639416
Quercus pubescens,14.03080856124812,18.77812538635884
Quercus pubescens,11.828190232121074,25.697202021138096
Quercus pubescens,13.856724467960191,20.798937278586443
