Specie,Altezza (m),Diametro (cm)
Ostrya carpinifolia,13.050636659545358,17.622437784701898
Ostrya carpinifolia,16.574169207484903,19.655790675599302
Ostrya carpinifolia,17.317191158014808,21.51496183694137
Ostrya carpinifolia,13.358635363296578,22.597265582510364
Ostrya carpinifolia,16.926752258488644,16.39911077883267
Ostrya carpinifolia,15.825561853872996,18.996496292477158
Ostrya carpinifolia,16.64412031998898,18.57516406651713
Ostrya carpinifolia,18.79358596530789,18.040012302278864
Ostrya carpinifolia,14.50922376799426,25.29636272084329
Ostrya carpinifolia,13.49252767128502,21.214945132882868
Ostrya carpinifolia,13.220971140748954,16.217348136994865
Ostrya carpinifolia,13.368379430069124,22.753585841164327
Ostrya carpinifolia,14.845796581171792,26.3664685910379
Ostrya carpinifolia,15.682303949633289,23.09739578165344
Ostrya carpinifolia,15.55338159866004,15.44189010213796
Ostrya carpinifolia,16.654366498072047,18.547297781401245
Ostrya carpinifolia,15.026003783755812,23.800733447559868
Ostrya carpinifolia,17.907068154314633,17.876991603143658
Ostrya carpinifolia,14.470686333524087,21.33145828443869
Ostrya carpinifolia,20.44033833317924,22.32390216028801
Ostrya carpinifolia,16.251334695530012,17.21920858526575
Ostrya carpinifolia,13.285684887167434,19.8214239318146
Ostrya carpinifolia,12.858215003877776,10.276197979792782
Ostrya carpinifolia,15.96494483048637,16.92683707599713
Ostrya carpinifolia,14.553074429348298,19.24229554582052
Ostrya carpinifolia,16.428000988184184,16.25665045410545
Ostrya carpinifolia,15.94647524914709,24.897233911794903
Ostrya carpinifolia,14.854342174686254,15.7095758661181
Ostrya carpinifolia,13.30641256386319,18.67986653990905
Ostrya carpinifolia,11.970305550628272,20.392221731858275
Ostrya carpinifolia,14.106970095865956,24.323819867198345
Ostrya carpinifolia,16.712797588646943,15.69241354646168
Ostrya carpinifolia,15.428187488260408,23.48949125646488
Ostrya carpinifolia,12.508522442576025,20.03069918305876
Ostrya carpinifolia,15.346361851702364,17.055474046856148
Ostrya carpinifolia,15.770634759457671,21.38631042278981
Ostrya carpinifolia,13.232285127597734,20.59717908672041
Ostrya carpinifolia,15.307450211891055,18.199349368523617
Ostrya carpinifolia,15.116417436892,20.20940625497005
Ostrya carpinifolia,12.714059404338752,18.84405920941472
Ostrya carpinifolia,15.715574720696566,20.340552035753745
Ostrya carpinifolia,16.12156905273647,21.98639202356314
Ostrya carpinifolia,17.166102486350553,24.75805044843605
Ostrya carpinifolia,17.107604104069807,16.286553503519453
Ostrya carpinifolia,12.244661264085815,26.3991001239688
Ostrya carpinifolia,13.124349920169754,14.143736601432494
Ostrya carpinifolia,16.03007053441732,19.54464471489325
Ostrya carpinifolia,16.027571901824416,21.76495161945373
Ostrya carpinifolia,16.030095372612095,20.842975603205097
Ostrya carpinifolia,22.70546298130944,18.13190144053822
Ostrya carpinifolia,16.141781021386333,19.37563324892817
Ostrya carpinifolia,17.271131280361196,18.5209971960235
Ostrya carpinifolia,16.908003526986406,18.23190572916737
Ostrya carpinifolia,16.302782502611596,22.548806291063077
Ostrya carpinifolia,14.369461510719308,21.071046457895143
Ostrya carpinifolia,16.517938440986534,17.921271214218038
Ostrya carpinifolia,13.454349570924856,22.698799626299756
Ostrya carpinifolia,14.526362786519982,20.921898562629828
Ostrya carpinifolia,14.029272904341791,22.43858635651688
Ostrya carpinifolia,15.163748278772646,21.88888652577084
Ostrya carpinifolia,19.629317133347016,17.513014967233783
Ostrya carpinifolia,11.265469614816505,18.31945687940909
Ostrya carpinifolia,16.372520380749027,22.241880815369782
Ostrya carpinifolia,11.774568257620697,21.831110796300397
Ostrya carpinifolia,14.056136268421133,19.937295218107558
Ostrya carpinifolia,17.177901193934733,20.351982149926343
Ostrya carpinifolia,15.128560038190926,23.832994687365275
Ostrya carpinifolia,12.844510444141388,18.22528583349251
Ostrya carpinifolia,13.569392581480065,21.641292143510118
Ostrya carpinifolia,16.35919549786935,19.39342204269832
Ostrya carpinifolia,13.539266736565729,19.34695639031834
Ostrya carpinifolia,15.43291717916395,23.29633055596157
Ostrya carpinifolia,15.091143679807628,22.47624904696409
Ostrya carpinifolia,13.696799304788366,22.44052890800192
Ostrya carpinifolia,19.28788817865065,23.916436421462983
Ostrya carpinifolia,16.267838044636022,20.063011524898275
Ostrya carpinifolia,10.949714826684788,22.04585891388489
Ostrya carpinifolia,15.372908629538856,19.069199730219637
Ostrya carpinifolia,13.676427070463223,20.972499057465328
Ostrya carpinifolia,16.704866669592448,19.609570836896943
