Specie,Altezza (m),"Diametro a 1,3 m (cm)"
Quercus robur,23.226798666321045,32.81198532800263
Quercus robur,23.24983758061998,36.71774171073707
Quercus robur,24.1303168582891,38.97364642013643
Quercus robur,20.787654963715426,39.11190695574639
Quercus robur,24.33264700856813,32.689603149219934
Quercus robur,21.06874856597083,32.2536255568246
Quercus robur,20.10920755737646,39.425183929804504
Quercus robur,23.68788709278919,39.796559350648735
Quercus robur,24.786049168217602,34.17159627878084
Quercus robur,24.881942969774304,38.287498239263776
Quercus robur,24.27198614370575,39.12213229978094
Quercus robur,21.26393150458411,39.328684138739334
Quercus robur,20.6029636869561,36.58554390333325
Quercus robur,20.523140659608885,32.97656166325497
Quercus robur,20.12236490834028,33.51268383468219
Quercus robur,20.447776171693405,30.086091333703422
Quercus robur,24.748128037778123,31.42403525602571
Quercus robur,23.28516160687624,31.955061883715082
Quercus robur,21.589491505638374,32.320400064234
Quercus robur,20.876565500182174,33.27470508706413
Quercus robur,23.384979113401354,31.13522052641005
Quercus robur,21.88525862258593,37.52058233690588
Quercus robur,20.636312252515815,31.154477371181372
Quercus robur,20.671274940955865,35.66508401938093
Quercus robur,22.54756835571006,39.27457415434461
Quercus robur,24.031935284679463,33.48944296928999
Quercus robur,23.895300623399972,37.42683029629338
Quercus robur,21.41979840988185,32.89149179634338
Quercus robur,24.23160430094849,31.04389073464028
Quercus robur,24.71387765230651,32.01947758088258
Quercus robur,22.293478560766175,31.151783759638544
Quercus robur,22.039291922635687,35.36473340224228
Quercus robur,23.6113373724561,31.95801927722248
Quercus robur,20.336928406801057,39.84758776940545
Quercus robur,21.233815426121346,32.92939083118941
Quercus robur,23.696670301026693,33.778958360407685
Quercus robur,20.429341981010836,37.916846802708804
Quercus robur,21.177852779126273,39.03431821984151
Quercus robur,23.316822434982445,31.536552180136535
Quercus robur,22.263891015314886,38.788986132631265
Quercus petraea,22.664498273459003,34.92239280680676
Quercus petraea,24.72092833737486,30.8765992130224
Quercus petraea,21.96864282596269,35.02816534246536
Quercus petraea,20.037277263424265,31.490098846106857
Quercus petraea,24.815547034031457,35.72286378283361
Quercus petraea,23.065703187878704,30.22368880701583
Quercus petraea,23.081830331868684,37.86953840557472
Quercus petraea,23.44358827055615,36.14241165020342
Quercus petraea,20.67068657691858,34.28845919166285
Quercus petraea,23.589527204899873,33.77806161229489
Quercus petraea,20.871243605094893,32.81975920675998
Quercus petraea,21.36016636404094,32.48924500856687
Quercus petraea,20.4669096052055,30.993904063618295
Quercus petraea,20.95533444034573,34.02940522147658
Quercus petraea,23.414859968223205,33.51614125786002
Quercus petraea,23.118867432438016,34.571382431084125
Quercus petraea,21.768186815315204,31.12703555235978
Quercus petraea,23.27019325698157,31.849603775388267
Quercus petraea,21.109672265891284,35.196471880740255
Quercus petraea,21.08946201596731,34.781675360912786
Quercus petraea,23.404231311112927,36.68493861707477
Quercus petraea,24.41912223499761,38.462518553217194
Quercus petraea,20.91795485288965,36.153434060561246
Quercus petraea,22.006227202843416,35.137731212981706
Quercus petraea,22.077038599549898,34.79816357080684
Quercus petraea,22.09596334549842,37.11147768624964
Quercus petraea,21.001859140456432,36.15904255203347
Quercus petraea,21.37745037459886,35.752918486916606
Quercus petraea,22.927249586691097,34.34618596200179
Quercus petraea,20.54385499629193,36.88197364648762
Quercus petraea,24.92465287933184,30.57657133370082
Quercus petraea,22.72418101341502,31.07096783660063
Quercus petraea,23.419618713820846,33.37869286153201
Quercus petraea,23.627498851298228,35.299519744174845
Quercus petraea,20.043353692304223,32.64884449329442
Quercus petraea,21.094670703979066,36.373723475062874
Quercus petraea,22.89881105207015,38.165424365002025
Quercus petraea,24.434450690618476,34.044189289805715
Quercus petraea,24.832481376203667,30.537824355852955
Quercus petraea,20.854734173972364,35.06468728733036
Quercus cerris,18.58858019074697,29.291857381233367
Quercus cerris,18.827890217018368,32.67163153430847
Quercus cerris,19.523143992883544,27.35892884826256
Quercus cerris,15.297587251784512,32.38660516034807
Quercus cerris,16.278616501345432,32.782756287802215
Quercus cerris,17.038869475084326,29.430032927174462
Quercus cerris,18.8638366181401,28.572213546360185
Quercus cerris,15.10588222685251,31.023403421953088
Quercus cerris,19.59521921505048,31.540559864303088
Quercus cerris,19.761213212427187,30.871703084731195
Quercus cerris,15.68944295621581,34.652892622752674
Quercus cerris,15.525013804329216,25.1185847737868
Quercus cerris,15.068525022808407,29.949869153424068
Quercus cerris,19.810544941407272,30.910865274984076
Quercus cerris,19.490619651252107,28.76879744375966
Quercus cerris,17.93696314146028,32.525912099731734
Quercus cerris,17.084911231360373,26.21329534933935
Quercus cerris,16.65149207663325,29.038438014601844
Quercus cerris,15.906193220860175,25.16236803288811
Quercus cerris,18.799401073695634,30.614192589114545
Quercus cerris,17.103568583818937,32.856321538371795
Quercus cerris,18.053154249951753,31.194399863584216
Quercus cerris,18.498152719867253,34.36841146474715
Quercus cerris,16.26001692978167,33.807121126989855
Quercus cerris,18.012493516095585,25.47222856312076
Quercus cerris,19.996190172720684,29.188487618240508
Quercus cerris,17.438653992796976,34.541832097008054
Quercus cerris,17.29931085936707,27.649812845777898
Quercus cerris,19.785757844060345,31.664490240235217
Quercus cerris,18.301778829586983,30.11344372051508
Quercus cerris,17.819554823635034,31.733025995002283
Quercus cerris,19.58600726859378,26.293325755360044
Quercus cerris,17.182831389608655,34.87131959499692
Quercus cerris,18.16127024345834,26.316058074860386
Quercus cerris,15.5884696983574,32.7204536199793
Quercus cerris,16.83671477051523,33.07223933424028
Quercus cerris,15.167939835925473,28.565894194499585
Quercus cerris,15.428811577713764,28.20158477803787
Quercus cerris,16.33653778809248,32.28362614401476
Quercus cerris,18.297224621011594,32.06823409158544
